,timestamp,open,high,low,close,volume
0,2024-10-28 04:23:00,4.2865,4.2865,4.2865,4.2865,0.0
1,2024-10-28 04:24:00,4.2865,4.2865,4.2865,4.2865,0.0
2,2024-10-28 04:25:00,4.2865,4.2865,4.2865,4.2865,0.0
3,2024-10-28 04:26:00,4.2865,4.2865,4.2865,4.2865,0.0
4,2024-10-28 04:27:00,4.2865,4.2865,4.2865,4.2865,0.0
5,2024-10-28 04:28:00,4.2865,4.2865,4.2865,4.2865,0.0
6,2024-10-28 04:29:00,4.2865,4.2865,4.2865,4.2865,0.0
7,2024-10-28 04:30:00,4.2865,4.2865,4.2802,4.2802,2.92
8,2024-10-28 04:31:00,4.2802,4.2824,4.2802,4.2824,1122.0
9,2024-10-28 04:32:00,4.2824,4.2824,4.2824,4.2824,0.0
10,2024-10-28 04:33:00,4.2824,4.2824,4.2824,4.2824,0.0
11,2024-10-28 04:34:00,4.2824,4.2824,4.2824,4.2824,0.0
12,2024-10-28 04:35:00,4.2824,4.2824,4.2824,4.2824,0.0
13,2024-10-28 04:36:00,4.2824,4.2824,4.2824,4.2824,0.0
14,2024-10-28 04:37:00,4.2824,4.2824,4.2824,4.2824,0.0
15,2024-10-28 04:38:00,4.2824,4.2824,4.2824,4.2824,0.0
16,2024-10-28 04:39:00,4.2824,4.2824,4.2824,4.2824,0.0
17,2024-10-28 04:40:00,4.2824,4.2824,4.2824,4.2824,0.0
18,2024-10-28 04:41:00,4.2824,4.2824,4.2824,4.2824,0.0
19,2024-10-28 04:42:00,4.2824,4.2824,4.2824,4.2824,0.0
20,2024-10-28 04:43:00,4.2824,4.2824,4.2824,4.2824,0.0
21,2024-10-28 04:44:00,4.2824,4.2824,4.2824,4.2824,0.0
22,2024-10-28 04:45:00,4.2824,4.2824,4.2824,4.2824,0.0
23,2024-10-28 04:46:00,4.2824,4.2824,4.2824,4.2824,0.0
24,2024-10-28 04:47:00,4.2824,4.2824,4.2824,4.2824,0.0
25,2024-10-28 04:48:00,4.2824,4.2824,4.2824,4.2824,0.0
26,2024-10-28 04:49:00,4.2824,4.284,4.2824,4.2832,1124.91
27,2024-10-28 04:50:00,4.2832,4.2832,4.2832,4.2832,0.0
28,2024-10-28 04:51:00,4.2832,4.2832,4.2832,4.2832,0.0
29,2024-10-28 04:52:00,4.2832,4.2832,4.2832,4.2832,0.0
30,2024-10-28 04:53:00,4.2832,4.2832,4.2832,4.2832,0.0
31,2024-10-28 04:54:00,4.2832,4.2832,4.2832,4.2832,0.0
32,2024-10-28 04:55:00,4.2832,4.2832,4.2832,4.2832,0.0
33,2024-10-28 04:56:00,4.2832,4.2832,4.2832,4.2832,0.0
34,2024-10-28 04:57:00,4.2832,4.2832,4.2832,4.2832,0.0
35,2024-10-28 04:58:00,4.2832,4.2832,4.2832,4.2832,0.0
36,2024-10-28 04:59:00,4.2832,4.2832,4.2832,4.2832,0.0
37,2024-10-28 05:00:00,4.2832,4.2832,4.2832,4.2832,0.0
38,2024-10-28 05:01:00,4.2832,4.2832,4.2832,4.2832,0.0
39,2024-10-28 05:02:00,4.2832,4.2832,4.2832,4.2832,0.0
40,2024-10-28 05:03:00,4.2832,4.2832,4.2832,4.2832,0.0
41,2024-10-28 05:04:00,4.2832,4.2832,4.2832,4.2832,0.0
42,2024-10-28 05:05:00,4.2832,4.2832,4.2832,4.2832,0.0
43,2024-10-28 05:06:00,4.2832,4.2832,4.2832,4.2832,0.0
44,2024-10-28 05:07:00,4.2832,4.2832,4.2832,4.2832,0.0
45,2024-10-28 05:08:00,4.2832,4.2841,4.2832,4.2836,1447.91
46,2024-10-28 05:09:00,4.2836,4.2836,4.2836,4.2836,0.0
47,2024-10-28 05:10:00,4.2836,4.2836,4.2836,4.2836,0.0
48,2024-10-28 05:11:00,4.2836,4.2836,4.2836,4.2836,0.0
49,2024-10-28 05:12:00,4.2836,4.2836,4.2836,4.2836,0.0
50,2024-10-28 05:13:00,4.2836,4.2836,4.2836,4.2836,0.0
51,2024-10-28 05:14:00,4.2836,4.2836,4.2836,4.2836,0.0
52,2024-10-28 05:15:00,4.2836,4.2836,4.2836,4.2836,0.0
53,2024-10-28 05:16:00,4.2836,4.2836,4.2836,4.2836,0.0
