,timestamp,open,high,low,close,volume,sma,aroon_up,aroon_down,aroon_buy_alert,aroon_sell_alert,ACTION
0,2024-04-22 13:50:00,154.371,154.496,154.028,154.14,98.13,,,,False,True,0
1,2024-04-22 13:55:00,154.257,154.792,154.257,154.343,25.27,,,,False,True,0
2,2024-04-22 14:00:00,154.288,154.679,154.131,154.131,40.83,,,,False,True,0
3,2024-04-22 14:05:00,154.288,154.603,154.195,154.315,34.19,,,,False,True,0
4,2024-04-22 14:10:00,154.315,154.912,154.276,154.766,43.86,154.339,,,False,True,0
5,2024-04-22 14:15:00,154.861,154.861,154.289,154.537,44.1,154.4184,80.0,0.0,True,False,0
6,2024-04-22 14:20:00,154.553,154.693,154.104,154.152,13.28,154.3802,60.0,100.0,False,True,0
7,2024-04-22 14:25:00,154.252,154.747,153.944,154.747,21.64,154.5034,40.0,100.0,False,True,0
8,2024-04-22 14:30:00,154.755,154.938,154.215,154.318,165.0,154.504,100.0,80.0,True,False,0
9,2024-04-22 14:35:00,154.292,154.292,153.809,154.046,350.7,154.36,80.0,100.0,False,True,0
10,2024-04-22 14:40:00,153.941,154.221,153.767,153.781,27.48,154.2088,60.0,100.0,False,True,0
11,2024-04-22 14:45:00,153.837,153.955,153.476,153.694,11.06,154.1172,40.0,100.0,False,True,0
12,2024-04-22 14:50:00,153.661,153.862,153.558,153.828,82.03,153.9334,20.0,80.0,False,True,0
13,2024-04-22 14:55:00,153.854,153.854,153.059,153.438,23.5,153.75740000000002,0.0,100.0,False,True,0
14,2024-04-22 15:00:00,153.392,153.633,152.016,152.135,205.66,153.3752,0.0,100.0,False,True,0
15,2024-04-22 15:05:00,152.103,152.275,151.734,152.13,401.12,153.04500000000002,0.0,100.0,False,True,0
16,2024-04-22 15:10:00,152.072,152.156,151.776,151.889,111.71,152.684,0.0,80.0,False,True,0
17,2024-04-22 15:15:00,151.803,152.226,151.685,151.948,13.43,152.308,0.0,100.0,False,True,0
18,2024-04-22 15:20:00,151.936,152.685,151.936,152.685,40.9,152.1574,0.0,80.0,False,True,0
19,2024-04-22 15:25:00,152.498,152.546,152.225,152.375,6.09,152.2054,0.0,60.0,False,True,0
20,2024-04-22 15:30:00,152.363,153.118,152.363,153.118,30.99,152.403,100.0,40.0,True,False,0
21,2024-04-22 15:35:00,153.099,153.404,152.954,153.23,257.71,152.6712,100.0,20.0,True,False,0
22,2024-04-22 15:40:00,153.317,153.851,153.284,153.287,14.48,152.939,100.0,0.0,True,False,0
23,2024-04-22 15:45:00,153.171,153.646,153.171,153.509,205.91,153.1038,80.0,0.0,True,False,0
24,2024-04-22 15:50:00,153.617,153.687,153.056,153.096,61.24,153.248,60.0,0.0,True,False,0
25,2024-04-22 15:55:00,153.129,153.477,153.093,153.404,1.41,153.30519999999999,40.0,0.0,True,False,0
26,2024-04-22 16:00:00,153.482,153.778,153.281,153.778,275.09,153.41479999999999,20.0,0.0,True,False,0
27,2024-04-22 16:05:00,153.803,154.216,153.568,154.179,29.43,153.5932,100.0,40.0,True,False,0
28,2024-04-22 16:10:00,154.242,154.544,154.242,154.299,43.02,153.7512,100.0,20.0,True,False,0
29,2024-04-22 16:15:00,154.299,154.791,154.057,154.613,329.0,154.0546,100.0,0.0,True,False,0
30,2024-04-22 16:20:00,154.639,154.644,154.074,154.074,38.52,154.1886,80.0,0.0,True,False,0
31,2024-04-22 16:25:00,154.041,154.076,153.689,153.812,5.75,154.1954,60.0,0.0,True,False,0
32,2024-04-22 16:30:00,153.758,153.758,153.154,153.293,4.01,154.01820000000004,40.0,100.0,False,True,0
33,2024-04-22 16:35:00,153.238,153.238,153.018,153.049,0.72,153.76820000000004,20.0,100.0,False,True,0
34,2024-04-22 16:40:00,153.013,153.069,152.412,152.891,63.18,153.4238,0.0,100.0,False,True,0
35,2024-04-22 16:45:00,152.908,153.702,152.908,153.419,589.51,153.2928,0.0,80.0,False,True,0
36,2024-04-22 16:50:00,153.363,153.561,153.126,153.362,17.21,153.20280000000002,0.0,60.0,False,True,0
37,2024-04-22 16:55:00,153.342,153.342,153.338,153.338,0.02,153.21179999999998,0.0,40.0,False,True,0
